GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
694656965,20171002,201710,2017,2017.7452,UAF,GUNMAN,,,,,,UAF,,,USA,LAS VEGAS,USA,,,,,,,,1,202,202,20,4,-10,10,1,10,-6.422764228,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,3,"Philadelphia, Pennsylvania, United States",US,USPA,39.9523,-75.1638,1209052,20171003,https://www.timesofmalta.com/articles/view/20171003/world/las-vegas-attack-death-toll-rises-to-59-gunman-64-acted-alone.659473
694438691,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,202,202,20,4,-10,2,1,2,-14.2504931,3,"Clear Lake, Iowa, United States",US,USIA,43.138,-93.3794,455465,0,,,,,,,2,"Iowa, United States",US,USIA,42.0046,-93.214,IA,20171002,http://www.foxnews.com/us/2017/10/02/deadliest-shootings-in-u-s-history.html
694520171,20171002,201710,2017,2017.7452,USA,PENNSYLVANIA,USA,,,,,,,,,,,,,,,,,,1,202,202,20,4,-10,12,4,12,-5.587598633,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,0,,,,,,,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://newstalk990.com/news/regional/pennsylvania-to-light-capitol-as-gesture-in-wake-of-massacre
694560765,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,202,202,20,4,-10,8,4,8,-7.407407407,2,"South Dakota, United States",US,USSD,44.2853,-99.4632,SD,0,,,,,,,2,"South Dakota, United States",US,USSD,44.2853,-99.4632,SD,20171002,http://kelo.com/news/articles/2017/oct/02/daugaard-congressional-delegation-react-to-vegas-massacre/
694547025,20171002,201710,2017,2017.7452,MMR,MYANMAR,MMR,,,,,,,,,,,,,,,,,,0,203,203,20,4,-10,10,1,10,-6.844919786,1,United States,US,US,39.828175,-98.5795,US,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,20171002,http://www.kansan.com/opinion/nabi-near-genocide-of-rohingyas-deserves-greater-coverage/article_4afa9f32-a20d-11e7-8719-e79c88493073.html
694438692,20171002,201710,2017,2017.7452,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,202,202,20,4,-10,2,1,2,-14.2504931,3,"West Okoboji, Iowa, United States",US,USIA,43.3533,-95.1625,462892,0,,,,,,,3,"Spirit Lake, Iowa, United States",US,USIA,43.4222,-95.1022,461851,20171002,http://www.foxnews.com/us/2017/10/02/deadliest-shootings-in-u-s-history.html
694559524,20171002,201710,2017,2017.7452,CVL,COMMUNITY,,,,,,CVL,,,,,,,,,,,,,1,202,202,20,4,-10,9,2,6,0.191570881,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,0,,,,,,,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,20171002,http://www.sunny981sd.com/blogs/samantha-boyd/how-help-las-vegas-victims
694399741,20171002,201710,2017,2017.7452,FRAUAF,FRANCE,FRA,,,,,UAF,,,FRAMED,FRANCE,FRA,,,,,MED,,,0,202,202,20,4,-10,1,1,1,-3.921568627,1,France,FR,FR,46,2,FR,1,France,FR,FR,46,2,FR,3,"Waterville, Maine, United States",US,USME,44.552,-69.6317,577893,20171002,http://deepstatenation.com/maine-gop-guv-accused-of-threatening-to-shoot-a-cartoonist-and-executing-lawmkers/
694492771,20171002,201710,2017,2017.7452,COP,SECURITY FORCE,,,,,,COP,,,IGOUNO,UNITED NATIONS,,UNO,,,,IGO,,,0,203,203,20,4,-10,5,1,5,-6.343283582,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20171002,https://thinkprogress.org/bangladesh-and-myanmar-deal-to-repatriate-rohingya-8154f2d993c7/
694428801,20171002,201710,2017,2017.7452,BUD,BUDDHIST,,,,BUD,,,,,BGD,BANGLADESH,BGD,,,,,,,,1,203,203,20,4,-10,1,1,1,-5.052878966,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20171002,http://www.dnaindia.com/world/report-bangladesh-myanmar-plan-for-refugee-repatriation-2549830
694418555,20171002,201710,2017,2017.7452,KHMREB,KHMER ROUGE,KHM,,,,,REB,,,RWA,RWANDA,RWA,,,,,,,,0,203,203,20,4,-10,5,1,5,-2.618757613,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20171002,http://www.livelaw.in/human-rights-discourse-south-asia/
694518468,20171002,201710,2017,2017.7452,CAN,CANADA,CAN,,,,,,,,USA,LAS VEGAS,USA,,,,,,,,1,202,202,20,4,-10,1,1,1,-4.436450839,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,20171002,http://lethbridgeherald.com/news/national-news/2017/10/02/canadian-among-more-than-50-las-vegas-massacre-dead-died-in-womans-arms/
694543457,20171002,201710,2017,2017.7452,ISR,ISRAEL,ISR,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,202,202,20,4,-10,1,1,1,-5.361305361,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,2,"Nevada, United States",US,USNV,38.4199,-117.122,NV,20171002,http://www.jpost.com/International/Israel-extends-condolences-to-the-people-of-America-in-the-wake-of-lethal-carnage-506556
694438726,20171002,201710,2017,2017.7452,USA,LAS VEGAS,USA,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,202,202,20,4,-10,4,1,4,-7.493812024,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,4,"Northern Ireland, Craigavon, United Kingdom",UK,UKR8,54.5,-6.5,-2604275,3,"Las Vegas, Nevada, United States",US,USNV,36.175,-115.137,847388,20171002,http://www.belfasttelegraph.co.uk/news/northern-ireland/las-vegas-shooting-northern-ireland-woman-describes-terror-as-gunman-kills-50-at-concert-36188046.html
694438836,20171002,201710,2017,2017.7452,USA,COLORADO,USA,,,,,,,,USAMIL,COLORADO,USA,,,,,MIL,,,0,202,202,20,4,-10,16,1,16,-14.2504931,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,20171002,http://www.foxnews.com/us/2017/10/02/deadliest-shootings-in-u-s-history.html
694536588,20171002,201710,2017,2017.7452,USAEDU,COLORADO,USA,,,,,EDU,,,EDU,SCHOOL,,,,,,EDU,,,1,202,202,20,4,-10,1,1,1,-14.1025641,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,3,"Columbine High School, Colorado, United States",US,USCO,39.6039,-105.074,1834800,3,"Columbine High School, Colorado, United States",US,USCO,39.6039,-105.074,1834800,20171002,http://www.foxnews.com/us/2017/10/02/deadliest-shootings-in-us-history.html
